entry_date,title,artist,peak,peak_date,weeks_top_ten,year,spotify_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
August 18,"""Little Star""",The Elegants,1,August 25,9,1958,spotify:track:3c7KT5CN8uYRaK3xThhdYt,0.408,0.397,9.0,-12.536,1.0,0.03,0.873,0.0,0.28,0.697,72.615,audio_features,3c7KT5CN8uYRaK3xThhdYt,spotify:track:3c7KT5CN8uYRaK3xThhdYt,https://api.spotify.com/v1/tracks/3c7KT5CN8uYRaK3xThhdYt,https://api.spotify.com/v1/audio-analysis/3c7KT5CN8uYRaK3xThhdYt,162773.0,4.0
August 25,"""Bird Dog""",The Everly Brothers,2,September 15,11,1958,spotify:track:2ZCkqAo0tzzCVOth7ityh5,0.658,0.706,11.0,-9.076,1.0,0.0354,0.686,2.18e-06,0.166,0.965,141.194,audio_features,2ZCkqAo0tzzCVOth7ityh5,spotify:track:2ZCkqAo0tzzCVOth7ityh5,https://api.spotify.com/v1/tracks/2ZCkqAo0tzzCVOth7ityh5,https://api.spotify.com/v1/audio-analysis/2ZCkqAo0tzzCVOth7ityh5,136427.0,4.0
August 25,"""Born Too Late""",The Poni-Tails,7,September 15,3,1958,spotify:track:3ZyJfbh2Y9y15f45qY1pDJ,0.552,0.284,4.0,-10.481,1.0,0.0259,0.821,8.15e-06,0.119,0.788,85.077,audio_features,3ZyJfbh2Y9y15f45qY1pDJ,spotify:track:3ZyJfbh2Y9y15f45qY1pDJ,https://api.spotify.com/v1/tracks/3ZyJfbh2Y9y15f45qY1pDJ,https://api.spotify.com/v1/audio-analysis/3ZyJfbh2Y9y15f45qY1pDJ,139013.0,4.0
September 1,"""Ginger Bread""",Frankie Avalon,9,September 1,2,1958,spotify:track:70FdlOx7tulYnp2IkS6qQw,0.543,0.554,8.0,-14.174,1.0,0.0372,0.398,3.83e-05,0.236,0.974,147.777,audio_features,70FdlOx7tulYnp2IkS6qQw,spotify:track:70FdlOx7tulYnp2IkS6qQw,https://api.spotify.com/v1/tracks/70FdlOx7tulYnp2IkS6qQw,https://api.spotify.com/v1/audio-analysis/70FdlOx7tulYnp2IkS6qQw,125153.0,4.0
September 1,"""Are You Really Mine?""",Jimmie Rodgers,10,September 1,1,1958,spotify:track:2oPz7fWUmfeNG00NVf5uNa,0.7,0.195,1.0,-16.657,1.0,0.0322,0.749,0.0,0.0472,0.58,101.858,audio_features,2oPz7fWUmfeNG00NVf5uNa,spotify:track:2oPz7fWUmfeNG00NVf5uNa,https://api.spotify.com/v1/tracks/2oPz7fWUmfeNG00NVf5uNa,https://api.spotify.com/v1/audio-analysis/2oPz7fWUmfeNG00NVf5uNa,148533.0,4.0
September 8,"""Rockin Robin""",Bobby Day,2,October 13,10,1958,spotify:track:4FlYcJnfkeBpowEHJ72Bmt,0.541,0.608,7.0,-13.083,1.0,0.106,0.298,0.0,0.234,0.938,171.992,audio_features,4FlYcJnfkeBpowEHJ72Bmt,spotify:track:4FlYcJnfkeBpowEHJ72Bmt,https://api.spotify.com/v1/tracks/4FlYcJnfkeBpowEHJ72Bmt,https://api.spotify.com/v1/audio-analysis/4FlYcJnfkeBpowEHJ72Bmt,160080.0,4.0
September 8,"""Western Movies""",The Olympics,8,September 15,2,1958,spotify:track:398Q0gLfmsjJ5GFx9W2q5Y,0.668,0.457,7.0,-7.138,1.0,0.0637,0.493,0.0147,0.117,0.691,120.494,audio_features,398Q0gLfmsjJ5GFx9W2q5Y,spotify:track:398Q0gLfmsjJ5GFx9W2q5Y,https://api.spotify.com/v1/tracks/398Q0gLfmsjJ5GFx9W2q5Y,https://api.spotify.com/v1/audio-analysis/398Q0gLfmsjJ5GFx9W2q5Y,140504.0,4.0
September 15,"""Its All in the Game""",Tommy Edwards,1,September 29,12,1958,spotify:track:2lmPUdIdzlFH64PWJrw6Zb,0.384,0.276,3.0,-13.527,1.0,0.0295,0.038,0.0,0.309,0.654,105.181,audio_features,2lmPUdIdzlFH64PWJrw6Zb,spotify:track:2lmPUdIdzlFH64PWJrw6Zb,https://api.spotify.com/v1/tracks/2lmPUdIdzlFH64PWJrw6Zb,https://api.spotify.com/v1/audio-analysis/2lmPUdIdzlFH64PWJrw6Zb,159040.0,3.0
September 15,"""Tears on My Pillow""",Little Anthony and the Imperials,4,October 13,8,1958,spotify:track:07ePHsQ0SopWrnCbNjNC2D,0.432,0.202,0.0,-14.518,1.0,0.0283,0.908,0.0,0.181,0.641,100.082,audio_features,07ePHsQ0SopWrnCbNjNC2D,spotify:track:07ePHsQ0SopWrnCbNjNC2D,https://api.spotify.com/v1/tracks/07ePHsQ0SopWrnCbNjNC2D,https://api.spotify.com/v1/audio-analysis/07ePHsQ0SopWrnCbNjNC2D,140533.0,3.0
September 15,"""Susie Darlin""",Robin Luke,5,October 13,7,1958,spotify:track:1xjCGpAJVRAECqs5Pt6Gw1,0.69,0.493,9.0,-8.285,1.0,0.0286,0.894,6.58e-06,0.246,0.666,121.454,audio_features,1xjCGpAJVRAECqs5Pt6Gw1,spotify:track:1xjCGpAJVRAECqs5Pt6Gw1,https://api.spotify.com/v1/tracks/1xjCGpAJVRAECqs5Pt6Gw1,https://api.spotify.com/v1/audio-analysis/1xjCGpAJVRAECqs5Pt6Gw1,154680.0,4.0
