id,name,link
1HfhwjJ7E9YBq6ltsXphSe,Top Singles: 2005,https://open.spotify.com/playlist/1HfhwjJ7E9YBq6ltsXphSe
4a4mkgwq95u6sUpxPXhQwH,Top Singles: 2006,https://open.spotify.com/playlist/4a4mkgwq95u6sUpxPXhQwH
2wIQHMUrlpIX7hykl8xzS2,Top Singles: 2007,https://open.spotify.com/playlist/2wIQHMUrlpIX7hykl8xzS2
7FUpVKzyK05uDJ9DyPiAAd,Top Singles: 2008,https://open.spotify.com/playlist/7FUpVKzyK05uDJ9DyPiAAd
4r8eVccUM5LifwwCb30I1m,Top Singles: 2009,https://open.spotify.com/playlist/4r8eVccUM5LifwwCb30I1m
5TwIBx5WjMhSFgVObSjTPY,Top Singles: 2010,https://open.spotify.com/playlist/5TwIBx5WjMhSFgVObSjTPY
3R2CpPvuCpmVKyOsUbq70z,Top Singles: 2011,https://open.spotify.com/playlist/3R2CpPvuCpmVKyOsUbq70z
5NYiignrFQXKBF8Y75q0rh,Top Singles: 2012,https://open.spotify.com/playlist/5NYiignrFQXKBF8Y75q0rh
1foy04YlPvPXQzy63UCLyh,Top Singles: 2013,https://open.spotify.com/playlist/1foy04YlPvPXQzy63UCLyh
4JbG69eorkERa901Pj0sFq,Top Singles: 2014,https://open.spotify.com/playlist/4JbG69eorkERa901Pj0sFq
2o6PQCmi5OFMh2nWUMvUPk,Top Singles: 2015,https://open.spotify.com/playlist/2o6PQCmi5OFMh2nWUMvUPk
6NVpEoJ03TDU9e65PAwBnQ,Top Singles: 2016,https://open.spotify.com/playlist/6NVpEoJ03TDU9e65PAwBnQ
4j5ON3iD6l1O2DJ810DOnH,Top Singles: 2017,https://open.spotify.com/playlist/4j5ON3iD6l1O2DJ810DOnH
3m2XINGL2pXr5ZXli55Amd,Top Singles: 2018,https://open.spotify.com/playlist/3m2XINGL2pXr5ZXli55Amd
6BujoklHPBauNLPAbML2Z2,Top Singles: 2019,https://open.spotify.com/playlist/6BujoklHPBauNLPAbML2Z2
5hFQKfN1lnuzChaEyGAaVO,Top Singles: 2020,https://open.spotify.com/playlist/5hFQKfN1lnuzChaEyGAaVO
6YEfexUpvo4c0riv3gT55G,Top Singles: 2021,https://open.spotify.com/playlist/6YEfexUpvo4c0riv3gT55G
0fiWUrC8HmG6x6nIba9EUq,Top Singles: 2022,https://open.spotify.com/playlist/0fiWUrC8HmG6x6nIba9EUq
2ZIVjyiumLqkAGdYWaqYIF,Top Singles: 1958 - 1959,https://open.spotify.com/playlist/2ZIVjyiumLqkAGdYWaqYIF
1a3QPiIP5oqoZ37J2pN97l,Top Singles: 1959 - 1960,https://open.spotify.com/playlist/1a3QPiIP5oqoZ37J2pN97l
5zj0WYAiWDv4lxeg02ssgY,Top Singles: 1960 - 1961,https://open.spotify.com/playlist/5zj0WYAiWDv4lxeg02ssgY
5Ma4MMo3tBi7l9CiWECXuR,Top Singles: 1961 - 1962,https://open.spotify.com/playlist/5Ma4MMo3tBi7l9CiWECXuR
5R6uxD7bd6PZ0VklTxmGZc,Top Singles: 1962 - 1963,https://open.spotify.com/playlist/5R6uxD7bd6PZ0VklTxmGZc
